#Organism/Name	TaxID	BioProject Accession	BioProject ID	Group	SubGroup	Size (Mb)	GC%	Assembly Accession	Chromosomes	Organelles	Plasmids	WGS	Scaffolds	Genes	Proteins	Release Date	Modify Date	Status	Center	BioSample Accession
Pyropia yezoensis	2788	PRJNA182063	182063	Other	Other	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	National Institute of Genetics	-
Emiliania huxleyi CCMP1516	280463	PRJNA77753	77753	Protists	Other Protists	167.676	65.7	GCA_000372725.1	-	-	-	AHAL01	7795	38549	38554	2013/04/19	2013/07/08	Scaffolds or contigs	JGI	-
Arabidopsis thaliana	3702	PRJNA10719	10719	Plants	Land Plants	119.668	36.0528	GCA_000001735.1	5	2	-	-	7	33583	35378	1997/01/17	2009/06/30	Chromosomes	The Arabidopsis Information Resource (TAIR)	-
Arabidopsis thaliana	3702	PRJNA13190	13190	Plants	Land Plants	93.6545	36.0433	GCA_000211275.1	6	-	-	-	6	16842	20111	2000/12/14	2007/05/19	Chromosomes	Arabidopsis Genome Initiative	-
Arabidopsis thaliana	3702	PRJNA30811	30811	Plants	Land Plants	96.2565	36.1	GCA_000222365.1	-	-	-	AFMZ01	1261	-	-	2011/07/18	2011/08/05	Scaffolds or contigs	1001genomes	-
Arabidopsis thaliana	3702	PRJNA117657	117657	Plants	Land Plants	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	Shanghai Jiao Tong University	-
Arabidopsis thaliana	3702	PRJNA169548	169548	Plants	Land Plants	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	University of Florida	-
Arabidopsis thaliana	3702	PRJNA208792	208792	Plants	Land Plants	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	Department of Horticulture and Landscape Architecture, Purdue University	-
Arabidopsis thaliana	3702	PRJNA212009	212009	Plants	Land Plants	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	CSIRO plant industry	-
Arabidopsis thaliana	3702	PRJNA30811	30811	Plants	Land Plants	96.5002	36.1	GCA_000222325.1	-	-	-	AFNA01	2143	-	-	2011/07/18	2011/08/05	Scaffolds or contigs	1001genomes	-
